height,timestamp,difficulty,delta_t
628587,1588433989,15958652328578.42,1338.0
628588,1588434457,15958652328578.42,468.0
628589,1588435152,15958652328578.42,695.0
628590,1588435538,15958652328578.42,386.0
628591,1588435766,15958652328578.42,228.0
628592,1588439789,15958652328578.42,4023.0
628593,1588440729,15958652328578.42,940.0
628594,1588441087,15958652328578.42,358.0
628595,1588441209,15958652328578.42,122.0
628596,1588441551,15958652328578.42,342.0
628597,1588441568,15958652328578.42,17.0
628598,1588441831,15958652328578.42,263.0
628599,1588442524,15958652328578.42,693.0
628600,1588442625,15958652328578.42,101.0
628601,1588443422,15958652328578.42,797.0
628602,1588443768,15958652328578.42,346.0
628603,1588443779,15958652328578.42,11.0
628604,1588444250,15958652328578.42,471.0
628605,1588444372,15958652328578.42,122.0
628606,1588444781,15958652328578.42,409.0
628607,1588445387,15958652328578.42,606.0
628608,1588445439,15958652328578.42,52.0
628609,1588446479,15958652328578.42,1040.0
628610,1588446981,15958652328578.42,502.0
628611,1588447172,15958652328578.42,191.0
628612,1588447332,15958652328578.42,160.0
628613,1588448486,15958652328578.42,1154.0
628614,1588449000,15958652328578.42,514.0
628615,1588449027,15958652328578.42,27.0
628616,1588449672,15958652328578.42,645.0
628617,1588450550,15958652328578.42,878.0
628618,1588451152,15958652328578.42,602.0
628619,1588451204,15958652328578.42,52.0
628620,1588451683,15958652328578.42,479.0
628621,1588453292,15958652328578.42,1609.0
628622,1588453508,15958652328578.42,216.0
628623,1588453774,15958652328578.42,266.0
628624,1588454047,15958652328578.42,273.0
628625,1588454542,15958652328578.42,495.0
628626,1588455132,15958652328578.42,590.0
628627,1588455669,15958652328578.42,537.0
628628,1588455684,15958652328578.42,15.0
628629,1588455689,15958652328578.42,5.0
628630,1588456525,15958652328578.42,836.0
628631,1588457038,15958652328578.42,513.0
628632,1588459033,15958652328578.42,1995.0
628633,1588459770,15958652328578.42,737.0
628634,1588460315,15958652328578.42,545.0
628635,1588461395,15958652328578.42,1080.0
628636,1588462805,15958652328578.42,1410.0
628637,1588463665,15958652328578.42,860.0
628638,1588463668,15958652328578.42,3.0
628639,1588464502,15958652328578.42,834.0
628640,1588465870,15958652328578.42,1368.0
628641,1588466545,15958652328578.42,675.0
628642,1588466596,15958652328578.42,51.0
628643,1588466752,15958652328578.42,156.0
628644,1588467456,15958652328578.42,704.0
628645,1588468128,15958652328578.42,672.0
628646,1588468239,15958652328578.42,111.0
628647,1588468339,15958652328578.42,100.0
628648,1588468710,15958652328578.42,371.0
628649,1588468861,15958652328578.42,151.0
628650,1588469142,15958652328578.42,281.0
628651,1588470154,15958652328578.42,1012.0
